Player,Position,Base Salary,Guaranteed Compensation
Josef Martínez,F,3000000,3058333.33
Ezequiel Barco,M,1425000,1425000
Pity Martínez,M,900000,900000
Héctor Villalba,M,722499.96,830249.96
Leandro González Pirez,D,775008,810008
Brad Guzan,GK,680004,740004
Justin Meram,M,650004,678754
Darlington Nagbe,M,665499.96,665499.96
Emerson Hyndman,M,360000,360000
Florentin Pogba,D,300000,324000
Michael Parkhurst,D,300000,300000
Franco Escobar,D,300000,300000
Eric Remedi,D,300000,300000
Brek Shea,D,225000,225000
Kevin Kratz,M,210000,222750
Jeff Larentowicz,D,210000,210000
Miles Robinson,D,145000.08,201250.08
Brandon Vázquez,F,150000,166000
José Rafael Hernández,D,140004,140004
Mo Adams,M,99999.96,134999.96
Julian Gressel,M,114249.96,132999.96
Alec Kann,GK,100008,100008
Andrew Carleton,M,84999.96,97399.96
Chris Goslin,M,90000,90000
George Bello,D,75000,79000
Lagos Kunga,M,70250.04,73250.04
Mikey Ambrose,D,72351.6,72351.6
Brendan Moore,GK,70250.04,70250.04
Jon Gallagher,M,70250.04,70250.04
Patrick Okonkwo,F,56256,67256
Luiz Fernando Nascimento,F,56250,56250
Dion Pereira,M,56250,56250
Bastian Schweinsteiger,M,5600000.04,5600000.04
Nicolás Gaitán,M,1400004,2197504
Nemanja Nikolic,F,1700000.04,1913333.37
Aleksandar Katai,M,1260000,1380333.33
Marcelo,D,774999.96,797499.96
Dax McCarty,M,700000.08,700000.08
Francisco Calvo,D,600000,672600
Przemyslaw Frankowski,M,450000,661687.5
Johan Kappelhof,D,549999.96,577833.29
C.J. Sapong,F,475000.08,475000.08
David Ousted,GK,268181.88,361136.43
Jonathan Bornstein,D,240000,263200
Richard Sánchez,GK,150000,152500
Kenneth Kronholm,GK,87996,150996
Micheal Azira,D,140000.04,146625.04
Fabian Herbers,M,135000,135000
Djordje Mihailovic,M,111000,114600
Grant Lillard,D,95000.04,97500.04
Brandt Bronico,M,84999.96,90624.96
Cristian Martínez,M,80000.04,88406.71
Gabriel Slonina,GK,60000,74800
Diego Campos,D,70250.04,72825.04
Amando Moreno,M,70250.04,72750.04
Raheem Edwards,M,70250.04,70250.04
Stefan Cleveland,GK,70250.04,70250.04
Andre Reynolds,D,56250,64250
Elliot Collier,M,57225,57225
Jeremiah Gutjahr,M,56250,56250
Fanendo Adi,F,1360008,1965008
Roland Lamah,M,750000,806250
Kendall Waston,D,750000,776666.67
