Team,Season,Games,ShtF,ShtA,GF,GA,GD,xGF,xGA,xGD,GD-xGD,Pts,xPts
LAFC,2019,34,621,345,84,34,50,80.85,37.94,42.91,7.09,72,72.64
NYC,2019,34,516,393,63,39,24,57.20,46.14,11.06,12.94,64,53.73
ATL,2019,34,509,384,55,41,14,57.27,46.65,10.62,3.38,58,55.00
SEA,2019,34,425,474,50,47,3,50.51,53.37,-2.86,5.86,56,45.87
PHI,2019,34,475,394,57,49,8,57.04,47.35,9.69,-1.69,55,53.06
RSL,2019,34,428,430,46,40,6,40.80,44.24,-3.44,9.44,53,45.43
MIN,2019,34,467,491,50,43,7,55.23,47.11,8.12,-1.12,53,52.38
LAG,2019,34,470,568,58,56,2,61.16,60.57,0.59,1.41,51,47.21
DCU,2019,34,428,578,41,37,4,43.68,55.66,-11.98,15.98,50,39.77
TOR,2019,34,439,424,57,50,7,53.00,52.68,0.32,6.68,50,46.82
POR,2019,34,561,482,50,48,2,56.95,57.39,-0.44,2.44,49,46.23
FCD,2019,34,470,433,51,46,5,50.14,47.47,2.68,2.32,48,48.51
NYRB,2019,34,447,430,50,49,1,51.11,51.11,0.00,1.00,48,45.78
NER,2019,34,455,504,49,57,-8,51.70,63.42,-11.73,3.73,45,41.17
SJE,2019,34,595,445,50,53,-3,57.80,51.81,5.99,-8.99,44,51.09
COL,2019,34,483,527,57,56,1,55.78,65.60,-9.83,10.83,42,40.90
CHI,2019,34,478,379,53,47,6,58.14,46.33,11.81,-5.81,42,53.69
MTL,2019,34,391,376,44,59,-15,42.70,47.31,-4.61,-10.39,41,44.92
HOU,2019,34,454,485,45,59,-14,51.26,52.56,-1.30,-12.70,40,48.02
SKC,2019,34,499,463,46,67,-21,58.41,55.60,2.82,-23.82,38,48.33
CLB,2019,34,395,442,37,47,-10,42.29,48.13,-5.84,-4.16,38,43.17
ORL,2019,34,386,467,44,50,-6,46.49,45.40,1.09,-7.09,37,47.44
VAN,2019,34,359,684,37,55,-18,36.35,63.86,-27.51,9.51,34,30.51
CIN,2019,34,359,512,29,74,-45,36.09,64.26,-28.17,-16.83,24,29.71
