Team,ShtF,ShtA,GF,GA,GD,xGF,xGA,xGD,GD-xGD,Pts,xPts
LAFC,18.26,10.15,2.47,1.00,1.47,2.38,1.12,1.26,0.21,2.12,2.14
NYC,15.18,11.56,1.85,1.15,0.71,1.68,1.36,0.33,0.38,1.88,1.58
ATL,14.97,11.29,1.62,1.21,0.41,1.68,1.37,0.31,0.10,1.71,1.62
SEA,12.50,13.94,1.47,1.38,0.09,1.49,1.57,-0.08,0.17,1.65,1.35
PHI,13.97,11.59,1.68,1.44,0.24,1.68,1.39,0.28,-0.05,1.62,1.56
RSL,12.59,12.65,1.35,1.18,0.18,1.20,1.30,-0.10,0.28,1.56,1.34
MIN,13.74,14.44,1.47,1.26,0.21,1.62,1.39,0.24,-0.03,1.56,1.54
LAG,13.82,16.71,1.71,1.65,0.06,1.80,1.78,0.02,0.04,1.50,1.39
DCU,12.59,17.00,1.21,1.09,0.12,1.28,1.64,-0.35,0.47,1.47,1.17
TOR,12.91,12.47,1.68,1.47,0.21,1.56,1.55,0.01,0.20,1.47,1.38
POR,16.50,14.18,1.47,1.41,0.06,1.68,1.69,-0.01,0.07,1.44,1.36
FCD,13.82,12.74,1.50,1.35,0.15,1.47,1.40,0.08,0.07,1.41,1.43
NYRB,13.15,12.65,1.47,1.44,0.03,1.50,1.50,0.00,0.03,1.41,1.35
NER,13.38,14.82,1.44,1.68,-0.24,1.52,1.87,-0.34,0.11,1.32,1.21
SJE,17.50,13.09,1.47,1.56,-0.09,1.70,1.52,0.18,-0.26,1.29,1.50
COL,14.21,15.50,1.68,1.65,0.03,1.64,1.93,-0.29,0.32,1.24,1.20
CHI,14.06,11.15,1.56,1.38,0.18,1.71,1.36,0.35,-0.17,1.24,1.58
MTL,11.50,11.06,1.29,1.74,-0.44,1.26,1.39,-0.14,-0.31,1.21,1.32
HOU,13.35,14.26,1.32,1.74,-0.41,1.51,1.55,-0.04,-0.37,1.18,1.41
SKC,14.68,13.62,1.35,1.97,-0.62,1.72,1.64,0.08,-0.70,1.12,1.42
CLB,11.62,13.00,1.09,1.38,-0.29,1.24,1.42,-0.17,-0.12,1.12,1.27
ORL,11.35,13.74,1.29,1.47,-0.18,1.37,1.34,0.03,-0.21,1.09,1.40
VAN,10.56,20.12,1.09,1.62,-0.53,1.07,1.88,-0.81,0.28,1.00,0.90
CIN,10.56,15.06,0.85,2.18,-1.32,1.06,1.89,-0.83,-0.49,0.71,0.87
