Team,PassF,PctF,xPctF,ScoreF,Per100F,VertF,PassA,PctA,xPctA,ScoreA,Per100A,VertA,ScoreDiff,VertDiff
LAFC,563.6764706,83.41%,81.84%,8.82,1.57,5.46,423.59,76.11%,77.46%,-5.70,-1.34,7.87,14.52,-2.41
TOR,570.4411765,83.70%,81.30%,13.68,2.40,5.40,479.15,80.60%,79.64%,4.57,0.95,6.42,9.11,-1.02
PHI,524.5588235,80.45%,79.10%,7.08,1.35,6.17,469.47,78.61%,78.90%,-1.40,-0.30,6.94,8.48,-0.77
NYC,548.1764706,80.17%,79.78%,2.14,0.39,6.50,408.35,73.24%,74.61%,-5.58,-1.37,8.77,7.72,-2.27
LAG,492.6764706,80.76%,78.01%,13.56,2.75,6.79,491.76,81.09%,79.54%,7.63,1.55,6.61,5.94,0.18
SJE,542.2058824,82.51%,81.22%,6.99,1.29,5.46,392.47,76.39%,76.07%,1.27,0.32,8.21,5.72,-2.75
CHI,483.0294118,78.98%,78.21%,3.71,0.77,6.76,510.24,79.99%,79.76%,1.19,0.23,6.54,2.52,0.22
SKC,508.3529412,81.43%,80.62%,4.10,0.81,5.84,460.50,79.68%,79.25%,2.01,0.44,6.90,2.09,-1.06
FCD,533.2352941,83.19%,82.08%,5.91,1.11,5.13,461.94,80.66%,79.67%,4.60,1.00,6.27,1.30,-1.14
NYRB,431.6470588,67.36%,69.72%,-10.19,-2.36,10.08,491.03,72.91%,75.24%,-11.46,-2.33,8.55,1.26,1.53
RSL,477.1176471,79.79%,79.30%,2.32,0.49,6.75,484.24,79.06%,78.83%,1.12,0.23,6.64,1.20,0.11
ATL,535.8823529,80.97%,80.82%,0.80,0.15,5.74,428.53,77.48%,77.56%,-0.32,-0.08,7.88,1.12,-2.14
POR,498.1764706,79.60%,78.31%,6.43,1.29,6.99,499.59,80.11%,78.82%,6.46,1.29,7.11,-0.03,-0.12
CLB,490.4117647,78.76%,78.87%,-0.54,-0.11,6.90,507.62,79.63%,79.49%,0.68,0.13,6.45,-1.23,0.45
NER,431.7647059,75.00%,74.66%,1.46,0.34,9.05,525.74,78.75%,78.20%,2.87,0.55,7.17,-1.41,1.87
MTL,497.5882353,79.89%,80.07%,-0.87,-0.17,6.24,519.21,80.82%,80.57%,1.31,0.25,5.94,-2.18,0.30
SEA,515.2058824,80.15%,79.40%,3.83,0.74,6.07,505.56,80.88%,79.61%,6.42,1.27,6.01,-2.59,0.06
CIN,446.8529412,77.01%,77.81%,-3.58,-0.80,7.53,517.21,79.25%,79.04%,1.07,0.21,6.39,-4.65,1.14
MIN,448.3823529,77.08%,77.00%,0.38,0.08,7.81,558.18,81.20%,80.09%,6.18,1.11,6.02,-5.81,1.79
HOU,453.1470588,79.77%,79.01%,3.44,0.76,6.79,514.44,82.49%,80.69%,9.30,1.81,5.96,-5.86,0.82
ORL,471.7352941,78.61%,78.45%,0.74,0.16,7.13,515.71,80.65%,79.29%,7.02,1.36,6.30,-6.28,0.83
DCU,473.7352941,78.20%,78.32%,-0.57,-0.12,6.93,520.15,79.59%,78.44%,5.99,1.15,6.14,-6.57,0.80
COL,392.9411765,75.34%,74.90%,1.73,0.44,8.81,546.88,81.71%,80.18%,8.35,1.53,6.01,-6.63,2.80
VAN,464.1470588,79.51%,79.58%,-0.32,-0.07,7.00,563.56,82.73%,79.64%,17.42,3.09,5.48,-17.75,1.52
