Player,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Carlos Vela,6.09,1.25,-0.73,0.21,2.58,1.87,11.28
Zlatan Ibrahimovic,-0.34,0.87,-0.18,1.41,5.40,1.64,8.80
Sebastián Blanco,2.69,0.18,-0.30,3.64,0.25,0.13,6.59
Alberth Elis,2.13,1.10,-0.47,0.24,2.41,0.30,5.71
Eduard Atuesta,2.40,0.42,0.33,1.48,0.01,0.03,4.67
Jack Elliott,0.50,0.55,1.24,0.50,1.58,0.25,4.61
Carles Gil,1.44,0.38,0.31,2.97,-1.02,0.26,4.34
Latif Blessing,1.33,0.47,0.86,-0.79,1.70,0.59,4.15
Valeri Qazaishvili,2.34,-0.24,0.06,-0.49,1.06,1.23,3.96
Anton Tinnerholm,1.30,0.78,-0.15,0.59,0.88,0.42,3.81
Aleksandar Katai,3.54,0.12,-0.12,0.17,0.20,-0.10,3.80
Josef Martínez,0.34,0.26,-0.33,-0.25,1.66,1.73,3.41
Cristian Espinoza,3.95,0.01,0.54,0.09,-0.77,-0.52,3.29
Mark-Anthony Kaye,0.11,-0.11,0.56,1.76,0.77,0.09,3.18
Shea Salinas,1.45,-0.03,-0.38,1.02,0.73,0.29,3.09
Ryan Hollingshead,0.52,0.23,2.60,-0.86,1.01,-0.45,3.05
Johnny Russell,2.11,-0.07,0.01,0.41,0.40,0.17,3.02
Rolf Feltscher,0.27,0.07,1.49,-0.39,1.05,0.48,2.96
Romain Métanire,0.66,0.09,1.01,1.38,-0.17,-0.02,2.94
Diego Chara,0.60,-0.28,1.55,0.50,0.24,0.26,2.88
Cristian Pavón,1.51,0.20,0.03,0.82,0.17,0.12,2.85
Daniel Royer,-1.27,0.16,-0.38,0.53,2.19,1.55,2.78
Francisco Calvo,0.04,0.29,1.06,0.83,0.72,-0.16,2.78
Jozy Altidore,-0.64,0.62,-0.07,0.62,2.15,0.08,2.77
Erik Godoy,0.12,0.20,2.82,0.11,-0.25,-0.25,2.74
Frédéric Brillant,0.05,0.30,0.73,0.01,0.99,0.55,2.64
Haris Medunjanin,0.74,0.07,-0.23,2.72,-0.54,-0.14,2.61
Felipe Gutiérrez,0.24,0.46,0.50,0.23,0.72,0.35,2.51
Diego Rossi,0.30,-0.03,-0.45,0.38,1.79,0.49,2.48
Eddie Segura,0.62,0.14,0.80,0.80,0.01,0.11,2.48
Sam Nicholson,1.68,0.54,-0.14,-0.03,0.40,0.02,2.46
Darwin Quintero,0.40,-0.18,0.32,2.07,-0.30,0.12,2.42
Przemyslaw Frankowski,0.34,-0.15,-0.20,1.27,1.01,0.11,2.37
Alexandru Mitrita,2.19,0.34,-0.68,0.37,-0.17,0.32,2.36
Guram Kashia,0.41,0.15,1.03,0.81,-0.02,-0.02,2.36
Alejandro Romero Gamarra,-0.12,-0.21,0.37,2.43,-0.35,0.13,2.26
Héber,-0.15,-0.27,0.24,-0.62,1.75,1.28,2.24
Steven Birnbaum,-0.31,0.57,1.22,0.34,0.37,0.01,2.20
Leandro González Pirez,0.80,0.59,-0.47,1.50,-0.18,-0.16,2.08
Michael Barrios,1.08,-0.10,-0.41,1.31,0.33,-0.13,2.06
Gerso,0.84,0.64,0.03,0.12,0.18,0.21,2.03
Diego Rubio,0.74,-0.05,0.75,0.16,0.29,0.13,2.02
Dax McCarty,0.54,0.19,0.49,0.34,0.34,0.10,2.01
Ilsinho,2.17,-0.01,-0.08,0.36,-0.44,-0.13,1.88
Matt Besler,0.81,-0.05,0.49,1.08,-0.50,0.03,1.85
Brian Fernández,0.74,-0.19,-0.32,-0.12,0.83,0.90,1.83
Ali Adnan,0.97,0.72,0.22,0.06,0.03,-0.19,1.82
Maynor Figueroa,1.22,-0.10,-0.03,0.99,-0.28,-0.06,1.74
