Player,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Carlos Vela,0.20,0.04,-0.02,0.01,0.08,0.06,0.36
Ryan Telfer,-0.10,-0.01,-0.05,0.34,0.20,-0.02,0.36
Jasser Khmiri,-0.01,0.01,0.41,-0.05,-0.02,-0.01,0.34
Javier Pérez,0.10,0.00,-0.02,0.40,-0.02,-0.14,0.33
Zlatan Ibrahimovic,-0.01,0.03,-0.01,0.05,0.18,0.06,0.30
Cristian Pavón,0.14,0.02,0.00,0.08,0.02,0.01,0.26
Alberth Elis,0.10,0.05,-0.02,0.01,0.11,0.01,0.26
Sebastián Blanco,0.09,0.01,-0.01,0.13,0.01,0.00,0.23
Cristian Martínez,0.08,-0.01,0.06,0.05,-0.03,0.05,0.21
Ethan Zubak,-0.22,-0.02,-0.03,0.03,0.43,0.02,0.20
Shea Salinas,0.09,0.00,-0.02,0.06,0.05,0.02,0.20
Nicolas Benezet,0.04,-0.01,0.11,-0.02,0.03,0.02,0.18
Michaell Chirinos,-0.02,0.10,-0.01,-0.04,0.09,0.06,0.17
Valeri Qazaishvili,0.10,-0.01,0.00,-0.02,0.04,0.05,0.16
Carlos Fierro,0.00,0.03,0.04,-0.05,0.11,0.03,0.16
Aleksandar Katai,0.15,0.00,-0.01,0.01,0.01,0.00,0.16
Eduard Atuesta,0.08,0.01,0.01,0.05,0.00,0.00,0.16
Raheem Edwards,0.04,0.02,-0.06,0.00,0.09,0.05,0.15
Ilsinho,0.17,0.00,-0.01,0.03,-0.03,-0.01,0.15
Rodolfo Zelaya,-0.04,-0.01,0.22,-0.02,-0.02,0.02,0.15
Jozy Altidore,-0.03,0.03,0.00,0.03,0.11,0.00,0.14
Youness Mokhtar,0.13,-0.01,-0.01,0.04,-0.03,0.03,0.14
Víctor Rodríguez,0.09,0.02,0.00,0.02,0.00,0.01,0.14
Latif Blessing,0.04,0.02,0.03,-0.03,0.06,0.02,0.13
Romell Quioto,0.12,0.03,-0.02,0.02,-0.01,0.01,0.13
Jack Elliott,0.01,0.02,0.04,0.01,0.04,0.01,0.13
Peter-Lee Vassell,0.08,0.00,-0.07,0.09,0.03,0.00,0.13
Anton Tinnerholm,0.04,0.03,0.00,0.02,0.03,0.01,0.13
Johnny Russell,0.09,0.00,0.00,0.02,0.02,0.01,0.13
Carles Gil,0.04,0.01,0.01,0.09,-0.03,0.01,0.12
Héber,-0.01,-0.01,0.01,-0.03,0.10,0.07,0.12
Jonathan Campbell,0.00,0.01,0.13,0.01,-0.02,0.00,0.12
Claude Dielna,0.03,-0.02,0.08,0.02,0.01,-0.01,0.12
Niko Hämäläinen,0.13,-0.03,0.11,-0.08,-0.01,0.00,0.12
Romario Williams,-0.02,0.00,0.00,-0.02,0.13,0.04,0.12
Rolf Feltscher,0.01,0.00,0.06,-0.02,0.04,0.02,0.12
Sam Nicholson,0.08,0.03,-0.01,0.00,0.02,0.00,0.12
Florian Valot,0.00,0.00,0.03,-0.01,0.10,0.00,0.12
Josef Martínez,0.01,0.01,-0.01,-0.01,0.06,0.06,0.12
Cristian Espinoza,0.14,0.00,0.02,0.00,-0.03,-0.02,0.12
Kevin Molino,0.04,0.00,0.04,0.02,-0.01,0.03,0.11
Brian Fernández,0.04,-0.01,-0.02,-0.01,0.05,0.06,0.11
Mark-Anthony Kaye,0.00,0.00,0.02,0.06,0.03,0.00,0.11
Omir Fernandez,0.02,0.01,0.04,-0.02,0.03,0.02,0.11
Graham Smith,0.02,0.01,0.05,0.00,0.01,0.03,0.11
Sergio Santos,0.00,0.02,0.01,-0.01,0.05,0.04,0.11
Guram Kashia,0.02,0.01,0.05,0.04,0.00,0.00,0.11
Romain Métanire,0.02,0.00,0.04,0.05,-0.01,0.00,0.11
Daniel Royer,-0.05,0.01,-0.01,0.02,0.08,0.06,0.11
Alejandro Romero Gamarra,-0.01,-0.01,0.02,0.11,-0.02,0.01,0.10
Gerso,0.04,0.03,0.00,0.01,0.01,0.01,0.10
Román Torres,0.02,0.01,0.06,-0.01,0.03,0.01,0.10
Gary Mackay-Steven,0.02,-0.01,-0.02,0.02,0.06,0.02,0.10
Zdenek Ondrasek,-0.03,-0.02,0.01,-0.01,0.11,0.03,0.10
Richie Laryea,0.12,0.04,-0.01,-0.06,0.01,0.00,0.10
Ema Twumasi,-0.27,0.00,0.01,-0.01,0.33,0.04,0.10
Darwin Quintero,0.02,-0.01,0.01,0.08,-0.01,0.00,0.10
Alexandru Mitrita,0.09,0.01,-0.03,0.02,-0.01,0.01,0.10
Héctor Villalba,0.12,-0.01,-0.01,-0.03,0.02,0.01,0.10
Diego Chara,0.02,-0.01,0.05,0.02,0.01,0.01,0.09
Francisco Calvo,0.00,0.01,0.04,0.03,0.02,-0.01,0.09
André Horta,0.11,0.01,-0.01,0.00,0.01,-0.02,0.09
Brian Rodríguez,0.12,0.05,-0.03,-0.09,0.00,0.04,0.09
Erik Godoy,0.00,0.01,0.09,0.00,-0.01,-0.01,0.09
Luke Mulholland,0.02,0.00,-0.02,0.09,0.00,0.00,0.09
Przemyslaw Frankowski,0.01,-0.01,-0.01,0.05,0.04,0.00,0.09
Luis Silva,-0.05,-0.01,-0.05,-0.05,0.12,0.12,0.09
Ryan Hollingshead,0.02,0.01,0.08,-0.03,0.03,-0.01,0.09
Andre Shinyashiki,0.04,0.01,0.02,0.00,-0.01,0.03,0.09
Diego Rubio,0.03,0.00,0.03,0.01,0.01,0.01,0.09
Santiago Patiño,-0.02,-0.01,0.02,-0.02,0.08,0.04,0.09
Dom Dwyer,-0.05,-0.02,-0.01,0.02,0.13,0.01,0.08
Nicolás Mezquida,0.03,-0.01,0.02,0.00,0.04,0.00,0.08
Ezequiel Barco,0.05,0.01,-0.02,0.00,0.01,0.03,0.08
Felipe Gutiérrez,0.01,0.01,0.02,0.01,0.02,0.01,0.08
Mohamed El-Munir,0.05,0.00,0.03,0.00,-0.01,-0.01,0.08
Santiago Mosquera,0.07,-0.01,0.01,0.00,0.00,0.02,0.08
Keaton Parks,0.04,0.00,-0.01,0.02,0.01,0.01,0.08
Frédéric Brillant,0.00,0.01,0.02,0.00,0.03,0.02,0.08
Paul Marie,0.10,-0.01,-0.01,-0.02,0.02,0.01,0.08
Dave Romney,0.02,0.01,0.05,-0.01,0.00,0.01,0.08
Matt Besler,0.03,0.00,0.02,0.04,-0.02,0.00,0.08
Danny Hoesen,-0.01,-0.01,-0.02,0.00,0.09,0.04,0.08
Diego Rossi,0.01,0.00,-0.01,0.01,0.05,0.02,0.08
Lassi Lappalainen,0.06,-0.01,-0.01,-0.05,0.03,0.05,0.07
Haris Medunjanin,0.02,0.00,-0.01,0.08,-0.02,0.00,0.07
Eddie Segura,0.02,0.00,0.02,0.02,0.00,0.00,0.07
Chris Pontius,0.01,-0.01,-0.02,0.01,0.08,-0.01,0.07
Tristan Blackmon,0.00,0.01,0.00,0.04,0.02,0.01,0.07
Alex Muyl,-0.01,-0.01,0.05,0.02,0.02,-0.01,0.07
Luis Martins,0.02,0.00,0.04,0.02,-0.01,0.00,0.07
Raúl Ruidíaz,-0.05,-0.01,0.00,-0.05,0.11,0.07,0.07
Wilfried Moimbé,0.00,0.00,0.12,-0.01,-0.03,-0.01,0.07
Jordan Morris,0.00,-0.01,-0.01,-0.01,0.06,0.03,0.07
Leandro González Pirez,0.03,0.02,-0.02,0.05,-0.01,-0.01,0.07
Maynor Figueroa,0.05,0.00,0.00,0.04,-0.01,0.00,0.07
Ronald Matarrita,0.00,0.01,0.05,0.00,0.01,0.01,0.07
Justin Meram,0.08,-0.01,0.01,-0.02,0.00,0.00,0.07
Michael Barrios,0.03,0.00,-0.01,0.04,0.01,0.00,0.07
Ali Adnan,0.04,0.03,0.01,0.00,0.00,-0.01,0.07
Juan Agudelo,0.00,-0.01,0.04,-0.01,0.02,0.01,0.07
Cristian Penilla,0.02,-0.01,-0.01,0.06,0.00,0.01,0.06
Bojan Krkić,0.06,0.00,-0.01,-0.03,0.04,0.00,0.06
Steven Birnbaum,-0.01,0.02,0.03,0.01,0.01,0.00,0.06
Dax McCarty,0.02,0.01,0.02,0.01,0.01,0.00,0.06
Memo Rodríguez,-0.01,-0.01,0.01,0.02,0.02,0.03,0.06
Tommy Thompson,0.05,0.01,0.06,-0.06,0.00,0.00,0.06
Josh Pérez,-0.02,-0.01,-0.01,0.01,0.04,0.05,0.06
Lamine Sané,0.01,0.02,0.05,0.00,-0.01,0.00,0.06
Anthony Jackson-Hamel,0.06,0.06,-0.02,0.00,-0.03,-0.01,0.06
Nani,0.03,0.00,0.00,0.10,-0.05,-0.03,0.06
Bressan,0.00,-0.03,0.08,0.01,0.00,0.00,0.06
Xavier Arreaga,0.02,0.00,0.04,-0.01,-0.01,0.01,0.06
Andrew Gutman,0.03,-0.04,0.01,0.05,0.00,0.02,0.06
Cristian Roldan,0.00,0.01,0.04,0.02,0.00,0.00,0.06
Angelo Rodríguez,-0.05,0.00,0.00,0.01,0.07,0.03,0.06
Rudy Camacho,0.02,0.01,-0.01,0.02,0.00,0.01,0.05
Kyle Duncan,0.00,-0.01,0.01,0.03,0.01,0.01,0.05
Chris Mavinga,0.02,-0.02,0.07,0.01,-0.02,0.00,0.05
Zakaria Diallo,0.04,-0.01,0.00,0.02,0.01,0.00,0.05
Joao Plata,0.08,0.05,-0.06,-0.01,-0.04,0.03,0.05
Julian Gressel,0.01,0.00,-0.02,0.03,0.03,0.00,0.05
Renzo Zambrano,0.00,-0.01,0.09,-0.02,-0.01,0.00,0.05
Gianluca Busio,0.00,0.05,0.02,-0.06,0.01,0.04,0.05
Michael Murillo,0.01,0.00,0.03,0.01,0.01,0.00,0.05
Abdul Rwatubyaye,0.07,0.03,-0.01,0.00,-0.02,-0.01,0.05
Pity Martínez,0.04,0.03,-0.02,0.02,0.01,-0.02,0.05
Alejandro Fuenmayor,0.02,0.01,-0.01,0.00,0.01,0.02,0.05
Auro,0.02,0.02,0.01,-0.01,0.01,0.00,0.05
Lalas Abubakar,-0.01,-0.02,0.09,-0.01,-0.01,0.00,0.05
Maximiliano Moralez,-0.03,0.02,-0.02,0.06,0.02,0.00,0.05
Bryan Reynolds,-0.03,-0.02,0.15,0.01,-0.04,-0.01,0.05
Jorge Moreira,0.08,-0.02,-0.02,0.01,0.00,0.00,0.05
Jonathan dos Santos,0.02,-0.01,0.00,0.05,-0.02,0.00,0.05
Mauricio Pereyra,-0.04,-0.01,0.00,0.13,-0.03,0.00,0.05
C.J. Sapong,-0.03,0.01,0.01,-0.02,0.06,0.01,0.05
Antonio Mlinar Delamea,0.01,0.01,0.04,0.01,-0.01,0.00,0.05
Matt Hedges,0.00,0.01,-0.01,0.04,0.00,0.01,0.05
Adama Diomande,0.13,-0.01,-0.03,-0.02,-0.04,0.02,0.05
Paxton Pomykal,0.04,-0.01,0.03,0.01,-0.03,0.00,0.04
Edgar Castillo,-0.01,0.01,0.04,0.02,0.00,0.00,0.04
Chris Odoi-Atsem,0.02,0.02,0.06,-0.05,0.00,0.00,0.04
Nick Hagglund,0.01,0.01,0.01,0.00,0.01,0.01,0.04
Bacary Sagna,-0.01,0.02,0.01,0.01,0.02,0.00,0.04
Zachary Brault-Guillard,0.06,0.00,0.00,-0.02,0.00,0.00,0.04
Ike Opara,0.00,0.01,0.03,-0.02,0.02,0.01,0.04
Axel Sjöberg,-0.08,0.05,-0.01,-0.01,0.08,0.02,0.04
Alex Crognale,0.00,0.01,-0.05,0.01,0.04,0.02,0.04
Romario Ibarra,0.02,0.05,-0.01,0.03,0.00,-0.04,0.04
Diego Polenta,0.02,-0.01,0.01,0.04,-0.01,0.00,0.04
Alejandro Bedoya,0.02,-0.01,0.01,0.02,0.01,0.00,0.04
Sebastián Saucedo,0.05,0.04,0.01,-0.01,-0.05,0.01,0.04
Chris Wondolowski,-0.01,-0.01,-0.01,-0.03,0.09,0.01,0.04
Ruan,0.04,0.03,-0.01,-0.03,0.01,0.00,0.04
Fanendo Adi,-0.06,0.00,-0.02,-0.02,0.10,0.03,0.04
Jimmy Medranda,-0.03,0.01,0.02,0.07,-0.05,0.02,0.04
Gyasi Zardes,-0.03,0.01,0.02,-0.02,0.04,0.01,0.04
Luis Felipe,-0.02,0.01,0.06,0.01,-0.03,0.00,0.04
Saphir Taïder,0.02,0.02,-0.03,-0.02,0.04,0.01,0.04
Bastian Schweinsteiger,0.03,0.00,-0.01,0.02,-0.01,0.00,0.03
