Player,Team,Season,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,Assists,xA,A-xA,xG+xA,xPA through goals,xPA through shots
Carlos Vela,LAFC,2019,2985,160,71,34,28.02,4.01,5.98,91,10,12.19,-2.19,40.21,17.45,15.91
Zlatan Ibrahimovic,LAG,2019,2862,151,65,30,25.90,2.46,4.10,42,6,5.78,0.22,31.68,18.29,17.64
Josef Martínez,ATL,2019,2808,117,50,27,23.21,0.64,3.79,29,2,3.06,-1.06,26.27,14.63,12.49
Mauro Manotas,HOU,2019,2754,92,30,13,15.23,-4.04,-2.23,37,5,5.47,-0.47,20.70,10.14,9.91
Diego Rossi,LAFC,2019,3127,108,49,16,12.05,1.35,3.95,47,6,7.66,-1.66,19.71,8.16,5.69
Diego Valeri,POR,2019,2857,83,32,8,9.82,-0.46,-1.82,121,8,9.85,-1.85,19.67,4.69,5.72
Maximiliano Moralez,NYC,2019,2700,51,25,7,10.36,-0.87,-3.36,95,10,9.22,0.78,19.58,4.23,5.45
Wayne Rooney,DCU,2019,2533,84,27,11,12.51,-2.33,-1.51,74,7,6.63,0.37,19.14,7.29,7.97
Kei Kamara,COL,2019,2788,94,44,14,17.70,1.45,-3.70,18,0,1.43,-1.43,19.13,6.62,9.76
Carles Gil,NER,2019,3343,67,24,10,8.51,2.00,1.49,105,12,10.27,1.73,18.78,7.26,6.51
Darwin Quintero,MIN,2019,2359,81,27,10,13.39,-3.11,-3.39,51,4,5.36,-1.36,18.75,7.28,9.42
Daniel Royer,NYRB,2019,2522,85,38,11,13.89,-0.66,-2.89,27,7,4.61,2.39,18.50,5.72,8.30
Alejandro Pozuelo,TOR,2019,2728,76,31,12,9.79,0.41,2.21,79,7,8.57,-1.57,18.36,8.42,7.31
Sebastián Blanco,POR,2019,2768,106,32,6,7.64,-2.10,-1.64,81,10,10.17,-0.17,17.81,3.51,4.64
Alberth Elis,HOU,2019,2138,82,33,9,10.76,0.84,-1.76,35,7,7.04,-0.04,17.79,5.31,6.13
Nicolás Lodeiro,SEA,2019,2745,53,18,7,6.30,-0.26,0.70,84,7,10.28,-3.28,16.58,4.22,3.59
Chris Wondolowski,SJE,2019,2247,79,33,15,14.48,-0.05,0.52,22,1,2.00,-1.00,16.47,8.21,7.27
Gyasi Zardes,CLB,2019,2705,62,26,13,14.35,-1.52,-1.35,24,2,1.80,0.20,16.15,8.08,10.70
