Player,Team,Season,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,A,xA,A-xA,xG+xA,xPA through goals,xPA through shots
Ryan Telfer,TOR,2019,11,0.00,0.00,0.00,0.00,0.00,0.00,8.73,8.73,3.89,4.84,3.89,0.00,0.00
Carlos Vela,LAFC,2019,2985,5.15,2.28,1.09,0.90,0.13,0.19,2.93,0.32,0.39,-0.07,1.29,0.56,0.51
Amando Moreno,CHI,2019,113,5.10,1.70,0.00,0.82,-0.41,-0.82,0.85,0.00,0.44,-0.44,1.26,0.00,0.64
Ethan Zubak,LAG,2019,57,5.05,1.68,0.00,0.67,-0.49,-0.67,1.68,0.00,0.50,-0.50,1.17,0.00,0.25
Zlatan Ibrahimovic,LAG,2019,2862,5.06,2.18,1.01,0.87,0.08,0.14,1.41,0.20,0.19,0.01,1.06,0.61,0.59
Ricardo Pepi,FCD,2019,113,1.70,0.85,0.00,0.23,-0.15,-0.23,3.40,0.00,0.71,-0.71,0.94,0.00,0.00
Josef Martínez,ATL,2019,2808,4.00,1.71,0.92,0.79,0.02,0.13,0.99,0.07,0.10,-0.04,0.90,0.50,0.43
Zdenek Ondrasek,FCD,2019,855,2.92,1.68,0.79,0.68,0.08,0.11,1.24,0.22,0.20,0.02,0.88,0.21,0.21
Alberth Elis,HOU,2019,2138,3.68,1.48,0.40,0.48,0.04,-0.08,1.57,0.31,0.32,0.00,0.80,0.24,0.28
Santiago Patiño,ORL,2019,398,2.89,0.72,0.48,0.64,-0.18,-0.15,0.72,0.24,0.13,0.11,0.77,0.46,0.57
Darwin Quintero,MIN,2019,2359,3.30,1.10,0.41,0.54,-0.13,-0.14,2.08,0.16,0.22,-0.06,0.76,0.30,0.38
Brian Fernández,POR,2019,1570,4.22,1.83,0.67,0.61,0.09,0.06,1.28,0.06,0.15,-0.09,0.76,0.43,0.40
Wayne Rooney,DCU,2019,2533,3.18,1.02,0.42,0.47,-0.09,-0.06,2.80,0.27,0.25,0.01,0.73,0.28,0.30
Mauro Manotas,HOU,2019,2754,3.21,1.05,0.45,0.53,-0.14,-0.08,1.29,0.17,0.19,-0.02,0.72,0.35,0.35
Héber,NYC,2019,1725,3.12,1.45,0.83,0.57,0.00,0.27,1.34,0.17,0.15,0.01,0.72,0.44,0.34
Nemanja Nikolic,CHI,2019,2134,2.16,0.99,0.54,0.58,-0.07,-0.04,0.94,0.00,0.14,-0.14,0.72,0.29,0.38
Danny Hoesen,SJE,2019,1690,3.35,1.42,0.28,0.53,-0.12,-0.25,1.36,0.17,0.18,-0.01,0.72,0.24,0.35
Raúl Ruidíaz,SEA,2019,1954,3.54,1.38,0.54,0.65,-0.08,-0.11,0.59,0.05,0.06,-0.01,0.71,0.28,0.42
Daniel Royer,NYRB,2019,2522,3.24,1.45,0.42,0.53,-0.03,-0.11,1.03,0.27,0.18,0.09,0.70,0.22,0.32
Chris Wondolowski,SJE,2019,2247,3.38,1.41,0.64,0.62,0.00,0.02,0.94,0.04,0.09,-0.04,0.70,0.35,0.31
Adama Diomande,LAFC,2019,1575,3.54,1.10,0.49,0.53,-0.14,-0.05,1.10,0.30,0.17,0.14,0.70,0.33,0.29
Maximiliano Moralez,NYC,2019,2700,1.81,0.89,0.25,0.37,-0.03,-0.12,3.38,0.36,0.33,0.03,0.70,0.15,0.19
Dom Dwyer,ORL,2019,1779,3.56,1.40,0.38,0.56,-0.14,-0.18,0.43,0.16,0.13,0.04,0.69,0.18,0.37
