Player,Pass%,xPass%,Score,Per100,Distance,Vertical,Touch%
Jonathan dos Santos,89.51%,84.55%,104.98,4.96,19.56,4.15,13.42%
Diego Chara,91.24%,86.08%,94.83,5.16,19.98,6.51,11.11%
Reto Ziegler,88.04%,83.92%,86.17,4.12,23.37,8.79,11.11%
Haris Medunjanin,82.48%,79.56%,79.62,2.92,22.02,8.13,13.31%
Bastian Schweinsteiger,87.01%,82.94%,76.67,4.07,23.26,9.24,11.80%
Eddie Segura,89.54%,85.69%,76.56,3.85,20.52,7.98,9.86%
Michael Bradley,88.07%,84.53%,75.27,3.54,21.17,6.09,12.28%
Diego Polenta,82.17%,76.88%,74.54,5.29,22.35,9.90,9.68%
Matt Hedges,87.67%,84.02%,70.96,3.65,23.14,9.41,10.72%
David Bingham,67.91%,61.40%,66.51,6.51,46.20,39.61,17.33%
Keegan Rosenberry,80.00%,75.75%,65.50,4.25,19.86,7.30,10.85%
Osvaldo Alonso,92.04%,87.74%,64.85,4.30,19.84,6.02,11.13%
Tommy Thompson,88.19%,83.94%,61.82,4.25,16.30,2.43,8.77%
Darlington Nagbe,92.58%,88.97%,61.71,3.61,18.24,2.25,9.14%
Auro,85.72%,81.27%,61.11,4.45,17.35,2.58,10.20%
Jordan Harvey,86.55%,82.44%,59.78,4.10,17.30,2.56,7.95%
Júnior Moreno,87.98%,84.77%,55.55,3.21,17.67,3.86,11.16%
Nick Rimando,72.18%,66.95%,52.49,5.23,40.19,33.06,15.69%
Graham Zusi,82.68%,79.64%,52.42,3.05,20.55,4.55,11.93%
Sebastian Lletget,87.38%,83.75%,52.28,3.63,17.16,1.00,9.29%
Jamiro Monteiro,86.50%,82.87%,48.71,3.63,17.40,3.61,9.95%
Eduard Atuesta,85.73%,83.74%,48.30,1.99,19.26,6.17,13.41%
Jack Elliott,81.59%,78.82%,48.19,2.77,24.97,11.74,9.44%
Alexander Callens,84.60%,81.36%,46.90,3.24,21.40,8.02,11.29%
Chris Mavinga,88.49%,84.61%,46.49,3.88,21.55,7.15,8.55%
Maxime Chanot,84.29%,81.53%,46.26,2.75,23.47,8.72,10.12%
Leandro González Pirez,84.28%,81.98%,46.12,2.30,25.11,10.23,11.80%
Guram Kashia,86.11%,82.61%,44.60,3.50,25.09,10.66,10.75%
Rolf Feltscher,77.03%,73.46%,44.33,3.57,18.09,4.34,9.57%
Lamine Sané,86.63%,82.56%,43.25,4.07,22.26,9.54,8.43%
