Player,Passes,Pass%,xPass%,Score,Per100,Distance,Vertical,Touch%
Ryan Telfer,26.18,100.00%,70.30%,7.78,29.70,18.14,-8.63,1.06%
Javier Pérez,112.00,95.24%,89.08%,6.90,6.16,20.74,8.02,2.87%
Rodney Wallace,22.15,100.00%,78.83%,4.69,21.17,18.04,1.74,1.25%
Luis Arriaga,28.80,100.00%,84.03%,4.60,15.97,15.81,7.17,0.59%
Greg Ranjitsingh,36.24,64.94%,53.33%,4.20,11.60,51.43,45.50,14.14%
Jonathan dos Santos,73.40,89.51%,84.55%,3.64,4.96,19.56,4.15,13.42%
Diego Chara,60.64,91.24%,86.08%,3.13,5.16,19.98,6.51,11.11%
Drew Moor,55.45,91.15%,85.76%,2.99,5.38,20.00,8.38,8.73%
Liam Fraser,79.33,88.54%,84.84%,2.94,3.70,22.12,5.88,13.63%
Francois Affolter,55.27,91.23%,85.97%,2.91,5.26,20.57,3.53,12.78%
Auro,64.77,85.72%,81.27%,2.88,4.45,17.35,2.58,10.20%
Matthew Real,60.57,79.25%,74.59%,2.82,4.65,18.07,3.13,3.06%
Michael Bradley,78.82,88.07%,84.53%,2.79,3.54,21.17,6.09,12.28%
Chad Marshall,45.10,91.26%,85.43%,2.63,5.83,21.95,7.66,7.93%
Diego Polenta,48.90,82.17%,76.88%,2.59,5.29,22.35,9.90,9.68%
Reto Ziegler,62.57,88.04%,83.92%,2.58,4.12,23.37,8.79,11.11%
Andreu Fontàs,73.01,89.83%,86.33%,2.55,3.50,21.41,7.83,10.76%
Greg Garza,57.23,82.86%,78.45%,2.52,4.41,18.87,4.68,10.30%
Bastian Schweinsteiger,61.86,87.01%,82.94%,2.51,4.07,23.26,9.24,11.80%
André Horta,61.00,87.60%,83.49%,2.51,4.11,18.53,1.98,5.10%
Osvaldo Alonso,56.00,92.04%,87.74%,2.41,4.30,19.84,6.02,11.13%
Sean Nealis,26.33,77.78%,68.64%,2.41,9.14,21.28,12.78,5.64%
Tommy Thompson,56.64,88.19%,83.94%,2.40,4.25,16.30,2.43,8.77%
Laurent Ciman,55.30,88.11%,83.84%,2.36,4.27,24.99,8.97,8.39%
Graham Smith,49.08,91.98%,87.29%,2.31,4.70,22.79,7.81,9.98%
Kevin Kratz,38.40,100.00%,94.03%,2.29,5.97,17.78,8.97,0.64%
Luis Felipe,26.03,87.50%,78.71%,2.29,8.79,20.16,11.20,1.53%
Lee Nguyen,65.16,88.75%,85.24%,2.29,3.51,17.07,2.80,6.13%
Eriq Zavaleta,54.82,90.24%,86.07%,2.28,4.17,22.04,5.66,6.72%
Haris Medunjanin,77.48,82.48%,79.56%,2.27,2.92,22.02,8.13,13.31%
Eddie Segura,58.77,89.54%,85.69%,2.26,3.85,20.52,7.98,9.86%
Jordan Harvey,54.72,86.55%,82.44%,2.25,4.10,17.30,2.56,7.95%
Shaft Brewer,68.04,89.04%,85.76%,2.23,3.28,17.51,1.51,12.16%
Tristan Blackmon,65.29,86.95%,83.61%,2.18,3.34,18.48,5.71,9.32%
Antonio Mlinar Delamea,39.37,87.23%,81.82%,2.13,5.42,22.25,8.89,8.10%
Zarek Valentin,54.80,84.07%,80.19%,2.13,3.89,21.02,4.51,9.16%
Matt Hedges,58.27,87.67%,84.02%,2.12,3.65,23.14,9.41,10.72%
Jamiro Monteiro,57.24,86.50%,82.87%,2.08,3.63,17.40,3.61,9.95%
Gedion Zelalem,47.49,89.36%,84.99%,2.08,4.37,18.91,3.27,4.81%
Brendan McDonough,47.30,91.18%,86.85%,2.05,4.33,23.75,4.56,7.14%
Víctor Cabrera,59.17,86.00%,82.57%,2.03,3.43,24.35,8.92,10.73%
Guram Kashia,57.88,86.11%,82.61%,2.03,3.50,25.09,10.66,10.75%
Florentin Pogba,54.48,82.52%,78.86%,2.00,3.66,22.30,7.99,7.95%
Sebastian Lletget,55.00,87.38%,83.75%,1.99,3.63,17.16,1.00,9.29%
Ilsinho,54.63,83.43%,79.83%,1.97,3.60,15.32,0.60,5.26%
David Bingham,30.10,67.91%,61.40%,1.96,6.51,46.20,39.61,17.33%
Dave Romney,37.37,82.91%,77.68%,1.95,5.22,19.74,6.02,7.43%
Graham Zusi,63.86,82.68%,79.64%,1.95,3.05,20.55,4.55,11.93%
Darlington Nagbe,53.49,92.58%,88.97%,1.93,3.61,18.24,2.25,9.14%
Chris Mavinga,49.70,88.49%,84.61%,1.93,3.88,21.55,7.15,8.55%
Júnior Moreno,58.94,87.98%,84.77%,1.89,3.21,17.67,3.86,11.16%
Alexander Callens,57.97,84.60%,81.36%,1.88,3.24,21.40,8.02,11.29%
Keegan Rosenberry,43.78,80.00%,75.75%,1.86,4.25,19.86,7.30,10.85%
Xavier Arreaga,49.67,88.12%,84.38%,1.86,3.75,23.86,9.24,9.58%
Chris Duvall,57.80,79.66%,76.52%,1.82,3.14,20.69,5.67,12.46%
Alex Crognale,38.11,81.61%,76.89%,1.80,4.72,24.82,12.84,7.47%
Rolf Feltscher,50.27,77.03%,73.46%,1.80,3.57,18.09,4.34,9.57%
Perry Kitchen,33.33,87.10%,81.74%,1.79,5.36,17.87,6.20,5.94%
Nick Rimando,33.74,72.18%,66.95%,1.77,5.23,40.19,33.06,15.69%
Chris Odoi-Atsem,45.18,80.56%,76.66%,1.76,3.90,16.18,4.51,5.00%
Darwin Cerén,50.98,87.69%,84.26%,1.75,3.44,23.05,5.22,5.91%
Gustav Svensson,60.10,87.15%,84.25%,1.74,2.89,22.54,8.20,9.85%
Justin Portillo,67.25,89.66%,87.09%,1.72,2.56,22.39,3.64,6.77%
Walker Zimmerman,53.98,85.14%,81.95%,1.72,3.18,21.65,9.14,8.85%
Matt Besler,66.09,85.46%,82.87%,1.71,2.59,23.29,9.37,11.37%
Jonathan Bornstein,42.86,80.54%,76.60%,1.69,3.94,18.32,5.03,8.68%
Scott Sutter,49.13,80.04%,76.68%,1.65,3.36,17.88,3.71,7.29%
Lamine Sané,40.44,86.63%,82.56%,1.65,4.07,22.26,9.54,8.43%
Connor Maloney,40.12,77.47%,73.39%,1.64,4.08,19.01,6.20,8.59%
DaMarcus Beasley,55.93,82.32%,79.41%,1.62,2.90,17.96,4.10,11.12%
Claude Dielna,49.84,82.55%,79.29%,1.62,3.25,24.62,10.58,8.77%
Joevin Jones,56.08,84.09%,81.21%,1.62,2.88,18.34,-0.11,6.56%
Eduard Atuesta,81.00,85.73%,83.74%,1.61,1.99,19.26,6.17,13.41%
Jack Price,54.29,80.88%,77.94%,1.60,2.94,23.42,5.90,10.68%
